id,type,color,weight
miR-493-3p,miRNA,#1EAB5B,10.48
CDC27,mRNA,grey,8
miR-1911-5p,miRNA,#1FAC36,12.4
ARHGEF3,mRNA,indianred,8
FRS2,mRNA,grey,8
MAP3K2,mRNA,grey,8
MEF2C,mRNA,grey,8
miR-875-5p,miRNA,#36AC1F,13.36
ACSL4,mRNA,grey,8
ARPC5,mRNA,grey,8
EGFR,mRNA,grey,8
MYLIP,mRNA,grey,8
PHC3,mRNA,grey,8
STAG2,mRNA,grey,8
TCF7L2,mRNA,grey,8
miR-548l,miRNA,#5BAF2A,22
ACTB,mRNA,grey,8
ADCYAP1,mRNA,grey,8
CLDN11,mRNA,grey,8
CTNNB1,mRNA,grey,8
GRIK2,mRNA,grey,8
HEY2,mRNA,grey,8
KITLG,mRNA,grey,8
LY75,mRNA,grey,8
MBD2,mRNA,grey,8
MED13L,mRNA,grey,8
MEIS1,mRNA,grey,8
MUT,mRNA,grey,8
MYO5A,mRNA,grey,8
PARD6B,mRNA,grey,8
PIK3C2A,mRNA,grey,8
RAP1A,mRNA,grey,8
ROBO2,mRNA,grey,8
SMAD4,mRNA,grey,8
SRC,mRNA,grey,8
STAT5B,mRNA,grey,8
STXBP4,mRNA,grey,8
KRAS,mRNA,grey,8
MTMR4,mRNA,grey,8
PAK7,mRNA,indianred,8
RAB11A,mRNA,grey,8
ZEB2,mRNA,grey,8
ARID4B,mRNA,grey,8
CTNND1,mRNA,grey,8
MAF,mRNA,grey,8
RNF111,mRNA,grey,8
TIAM1,mRNA,grey,8
let-7i-3p,miRNA,#8FC746,10.96
miR-106a-3p,miRNA,#BADE46,14.32
miR-532-5p,miRNA,#CFDE46,12.4
miR-548k,miRNA,#DECA46,18.16
COL12A1,mRNA,grey,8
miR-193b-5p,miRNA,#EECC5C,12.4
ACVR2A,mRNA,grey,8
RBPJ,mRNA,grey,8
ZFHX3,mRNA,grey,8